,index,chromosome,gene,start bp,stop bp,+1 or -1 strand,fitness
3679,3322,chrX,YJL052W,338271,339269,1,"[1.3528875485901217, 1.210388289726734, 0.2829010508794287, 1.29871184471473, 0.6690044017789917, 0.8485322362077505, 1.466325100326476, 0.2829010508794287, 1.3528875485901217, 1.901371605608423, 1.5423159367509052, 1.500921511060305, 1.6848151956142927, 0.7701092349517793, 0.5265051429156039, 1.8358867432475112, 0.2829010508794287, 0.5265051429156039]"
3678,3323,chrX,YJL053W,335898,337037,1,"[0.5265051429156039, 0.5265051429156039, 1.6207389380068766, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 0.7701092349517793, 0.7701092349517793, 0.2829010508794287, 0.7701092349517793, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.7658319091261732, 0.2829010508794287, 1.6975964737990845, 0.5265051429156039, 0.5265051429156039, 0.2829010508794287]"
3677,3324,chrX,YJL054W,334265,335701,1,[]
3676,3325,chrX,YJL055W,333357,334094,1,"[0.2829010508794287, 1.7658319091261732, 0.6690044017789917, 1.3177135758273408, 1.7159369696921372, 1.8720674380264324, 1.5613176678635161, 2.1378755285740394, 1.7760194750550562, 1.0921363282439258, 2.083699824698648, 0.5265051429156039, 0.8485322362077505, 0.8485322362077505, 1.2786237250538226, 1.2346355871073136, 1.4141634215360728, 0.7701092349517793, 0.9667841976905588, 0.8485322362077505, 1.5423159367509052, 0.2829010508794287, 1.2346355871073136, 0.8485322362077505, 0.2829010508794287, 2.036770695401252, 1.0551077526785546, 1.7445256030964802, 1.2346355871073136, 1.210388289726734, 1.1843433085517896, 0.2829010508794287]"
3675,3326,chrX,YJL056C,330431,333073,-1,[]
3674,3327,chrX,YJL057C,328118,330121,-1,"[0.6690044017789917, 0.2829010508794287, 1.1256327492988034, 1.1843433085517896, 1.7810046141784506, 0.5265051429156039, 1.4539923817629092, 1.210388289726734, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 0.2829010508794287, 1.8358867432475112, 1.3692368413349787, 1.551945208018266, 1.2786237250538226, 0.2829010508794287, 1.29871184471473, 0.2829010508794287, 0.7701092349517793, 1.3528875485901217, 0.9126084938151668, 0.8485322362077505, 0.5265051429156039, 1.210388289726734, 0.7701092349517793, 0.5265051429156039, 1.7038169267269039, 1.1256327492988034, 1.6848151956142927, 1.4141634215360728, 0.8485322362077505, 1.0551077526785546, 2.1360778447796744, 1.6207389380068766]"
3673,3328,chrX,YJL058C,326242,327873,-1,"[1.335740420280101, 0.9126084938151668, 0.2829010508794287, 1.210388289726734, 0.8485322362077505, 1.5222278170899979, 1.2346355871073136, 1.8483654416327076, 0.8485322362077505, 1.67155149262414, 0.2829010508794287, 1.8720674380264324, 1.0921363282439258, 2.034371734444789, 1.7499744938801116, 1.3998166778875174, 2.1342709183544915, 1.7658319091261732, 1.3528875485901217, 0.9667841976905588, 1.0551077526785546]"
3672,3329,chrX,YJL059W,324964,326190,1,"[1.9535332843988262, 0.8485322362077505, 1.6047613495965325, 1.0551077526785546, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 0.9126084938151668, 0.6690044017789917, 1.0137133269879544, 0.2829010508794287, 1.466325100326476, 1.1562125858513421, 0.2829010508794287, 1.0137133269879544, 0.2829010508794287, 1.968364447718178, 0.9126084938151668, 0.2829010508794287, 0.5265051429156039, 0.6690044017789917, 1.928419287650468, 1.5222278170899979, 2.0816016309111793]"
3671,3330,chrX,YJL060W,323386,324720,1,"[0.7701092349517793, 0.2829010508794287, 1.0137133269879544, 2.113756286001042, 0.2829010508794287, 1.6782459124687328, 0.9126084938151668, 0.2829010508794287, 1.210388289726734, 0.6690044017789917, 1.1256327492988034, 1.29871184471473, 1.0551077526785546, 1.4539923817629092, 0.6690044017789917, 1.7159369696921372]"
3641,3331,chrX,YJL061W,320016,322157,1,"[1.4141634215360728, 1.3692368413349787, 1.1843433085517896]"
3640,3332,chrX,YJL062W,317284,319776,1,"[0.2829010508794287, 0.6690044017789917, 1.0137133269879544, 2.031956285654798, 0.2829010508794287, 1.210388289726734, 0.2829010508794287, 0.2829010508794287, 1.3528875485901217, 0.5265051429156039, 0.2829010508794287, 0.5265051429156039, 1.0137133269879544, 1.335740420280101, 1.210388289726734, 2.245200814674646, 1.6047613495965325, 1.0551077526785546, 0.2829010508794287]"
3639,3333,chrX,YJL063C,315759,316475,-1,"[0.9126084938151668, 1.2573174190241294, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 1.466325100326476, 1.6207389380068766, 1.5793445123162764, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039]"
3610,3334,chrX,YJL064W,315175,315570,1,[1.9853732385276839]
3608,3335,chrX,YJL065C,315054,315557,-1,"[1.5613176678635161, 0.8485322362077505, 1.3177135758273408, 0.2829010508794287, 1.2346355871073136, 1.3998166778875174, 1.3177135758273408, 1.1256327492988034, 1.988129695132655, 1.0551077526785546, 1.1562125858513421, 1.210388289726734]"
3607,3336,chrX,YJL066C,314114,314872,-1,"[1.9797946068643946, 2.119470987775931, 1.6128409333711538, 0.7701092349517793, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.0551077526785546, 1.551945208018266]"
3606,3337,chrX,YJL067W,314084,314434,1,"[0.6690044017789917, 2.0980465683472027, 1.2346355871073136, 0.9667841976905588, 1.947421018763079, 1.628463345990257, 1.5222278170899979, 1.7038169267269039, 0.8485322362077505]"
3605,3338,chrX,YJL068C,313016,313915,-1,"[0.7701092349517793, 1.8870248619598677, 0.8485322362077505, 1.0137133269879544, 1.0137133269879544, 1.9117599407033035, 0.5265051429156039, 1.6647270759533856, 1.1256327492988034, 1.7760194750550562, 0.2829010508794287, 1.921850004504908, 0.5265051429156039, 0.5265051429156039, 0.9667841976905588, 1.9348680266633007, 1.0137133269879544, 0.2829010508794287, 0.7701092349517793, 0.7701092349517793, 1.2346355871073136, 1.2346355871073136, 1.210388289726734, 1.210388289726734]"
3604,3339,chrX,YJL069C,310922,312706,-1,[]
3603,3340,chrX,YJL070C,307971,310637,-1,"[1.5324153830188807, 1.8564450254073293, 0.7701092349517793, 0.7701092349517793, 0.6690044017789917, 1.0137133269879544, 1.384859253954082, 0.9126084938151668, 0.2829010508794287, 0.9667841976905588, 1.0137133269879544, 1.2573174190241294, 0.5265051429156039, 0.8485322362077505, 0.9126084938151668, 1.7218437711796641, 1.4279474005879649, 1.2346355871073136, 0.2829010508794287, 1.9595410617283124, 1.500921511060305, 0.5265051429156039, 0.7701092349517793]"
3602,3341,chrX,YJL071W,306132,307856,1,"[1.466325100326476, 0.8485322362077505, 0.2829010508794287, 1.6647270759533856, 2.104020305634479, 0.7701092349517793, 0.2829010508794287]"
3601,3342,chrX,YJL072C,305221,305862,-1,[]
3600,3343,chrX,YJL073W,303181,305118,1,"[0.7701092349517793, 0.2829010508794287, 1.5117361001983665, 1.4279474005879649, 1.2786237250538226, 1.0137133269879544, 2.0145666968898204, 0.9126084938151668, 1.8643430300430517, 1.4897635448401925, 0.9126084938151668, 1.1843433085517896, 1.6506673445016888, 0.2829010508794287, 1.4141634215360728, 0.2829010508794287, 0.8485322362077505, 2.0270750069711645, 1.7760194750550562, 0.7701092349517793, 2.08785900241832, 2.0553947301685147, 0.2829010508794287, 1.5793445123162764, 1.7499744938801116, 0.6690044017789917, 1.2786237250538226, 0.2829010508794287, 0.5265051429156039, 1.335740420280101, 1.9117599407033035, 1.2786237250538226]"
3599,3344,chrX,YJL074C,299157,302849,-1,[]
3598,3345,chrX,YJL075C,298460,298876,-1,"[1.1843433085517896, 1.3998166778875174, 2.034371734444789, 1.5880226425010073, 1.4897635448401925, 0.5265051429156039, 1.0137133269879544, 0.2829010508794287, 1.2346355871073136, 1.4539923817629092, 1.0921363282439258]"
3597,3346,chrX,YJL076W,295245,298814,1,"[1.0551077526785546, 0.6690044017789917, 1.5613176678635161, 0.6690044017789917, 1.384859253954082, 1.6047613495965325, 0.2829010508794287, 0.5265051429156039, 1.29871184471473, 0.7701092349517793, 1.551945208018266, 0.6690044017789917, 0.5265051429156039, 0.2829010508794287, 1.466325100326476, 1.466325100326476, 1.3998166778875174]"
3596,3347,chrX,YJL077C,294666,295061,-1,"[1.2573174190241294, 1.8796257167627959, 1.2346355871073136, 0.2829010508794287, 2.157065955753208, 1.7553401922345417, 1.1562125858513421, 1.0551077526785546, 1.7760194750550562, 1.0137133269879544, 0.7701092349517793, 1.2786237250538226, 1.1562125858513421, 0.2829010508794287, 1.5324153830188807, 0.5265051429156039, 0.2829010508794287, 1.6848151956142927]"
3595,3348,chrX,YJL078C,291336,293981,-1,"[0.9126084938151668, 1.4539923817629092, 1.29871184471473, 1.5423159367509052, 1.9654478632158394, 0.9126084938151668, 1.3528875485901217, 1.29871184471473, 1.5324153830188807, 0.8485322362077505, 1.3998166778875174, 1.2573174190241294, 1.0921363282439258, 1.6647270759533856, 2.4156274717228188, 1.9535332843988262, 0.9126084938151668, 1.3998166778875174, 0.6690044017789917, 1.950490439282404, 0.8485322362077505, 2.119470987775931, 0.5265051429156039, 0.5265051429156039, 0.7701092349517793, 0.5265051429156039, 0.2829010508794287, 1.976971728912543, 0.2829010508794287, 0.5265051429156039, 0.7701092349517793, 0.2829010508794287, 0.5265051429156039, 1.0137133269879544, 1.2346355871073136, 0.9667841976905588, 0.8485322362077505, 0.6690044017789917, 0.6690044017789917, 0.7701092349517793, 0.2829010508794287, 0.9667841976905588, 0.9667841976905588, 1.944324554542804, 0.2829010508794287, 1.478239679143489, 0.6690044017789917, 0.2829010508794287, 0.5265051429156039, 0.2829010508794287, 1.8095158961099336, 0.2829010508794287, 0.2829010508794287, 1.0921363282439258, 1.0137133269879544, 1.4897635448401925, 1.6848151956142927, 0.2829010508794287, 1.384859253954082, 1.466325100326476, 0.7701092349517793]"
3594,3349,chrX,YJL079C,289875,290774,-1,"[2.247833384403702, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 1.4141634215360728, 0.7701092349517793, 1.9935785859162871, 0.9667841976905588, 0.9667841976905588, 0.5265051429156039, 1.29871184471473, 1.0921363282439258, 1.6912639346271254, 1.466325100326476, 1.478239679143489, 0.8485322362077505, 0.2829010508794287, 0.6690044017789917]"
3593,3350,chrX,YJL080C,285558,289226,-1,"[0.6690044017789917, 0.2829010508794287, 1.0137133269879544, 0.9667841976905588, 0.7701092349517793, 0.8485322362077505, 1.8524284512260387, 0.2829010508794287, 0.9667841976905588, 1.3528875485901217, 0.9126084938151668, 1.210388289726734, 0.5265051429156039]"
3592,3351,chrX,YJL081C,283802,285271,-1,[]
3591,3352,chrX,YJL082W,281185,283380,1,"[0.7701092349517793, 0.6690044017789917, 1.500921511060305, 1.2573174190241294, 1.6434207699236927, 1.8942714365378641, 1.7760194750550562, 1.500921511060305, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 1.6360216247266204, 0.5265051429156039, 0.9667841976905588, 2.324151909817392, 1.551945208018266]"
3590,3353,chrX,YJL083W,278841,280655,1,"[0.5265051429156039, 1.210388289726734, 0.5265051429156039, 1.8049217598996912, 0.2829010508794287, 1.6975964737990845, 0.6690044017789917, 1.947421018763079, 1.5222278170899979, 0.5265051429156039, 0.9126084938151668, 0.9126084938151668, 1.4141634215360728, 1.8002667724356356, 0.8485322362077505, 1.3528875485901217, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.29871184471473, 0.2829010508794287, 1.1562125858513421, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 0.2829010508794287, 1.3177135758273408, 0.5265051429156039, 1.5222278170899979, 0.2829010508794287, 1.8483654416327076]"
3589,3354,chrX,YJL084C,274862,278002,-1,"[0.5265051429156039, 0.2829010508794287, 1.7159369696921372, 2.2851241355989274, 1.0551077526785546, 1.4141634215360728, 1.0137133269879544, 0.2829010508794287, 0.2829010508794287, 1.335740420280101, 1.4897635448401925, 0.6690044017789917, 1.1256327492988034, 2.0531199881461086, 0.2829010508794287, 0.5265051429156039, 1.4279474005879649, 1.5704466594513526, 1.8442549103821446, 0.8485322362077505, 0.9667841976905588, 1.0137133269879544, 1.9412005658352596, 1.7553401922345417, 1.6912639346271254, 2.268212798250801, 1.7159369696921372, 0.2829010508794287, 0.9126084938151668]"
3588,3355,chrX,YJL085W,272827,274698,1,[0.2829010508794287]
3587,3356,chrX,YJL086C,272478,272846,-1,"[2.313436250001735, 2.0709185465138558, 0.9126084938151668, 2.083699824698648, 2.549340112542759, 1.8524284512260387, 1.0137133269879544, 1.5613176678635161, 0.8485322362077505, 1.7333676368763677, 0.2829010508794287, 0.5265051429156039, 1.1562125858513421]"
3586,3357,chrX,YJL087C,270002,272485,-1,[]
3585,3358,chrX,YJL088W,268799,269815,1,"[0.2829010508794287, 1.921850004504908, 1.335740420280101, 1.5222278170899979, 1.9348680266633007, 2.198648976251404, 0.2829010508794287, 1.0137133269879544, 1.8643430300430517, 1.0137133269879544]"
3584,3359,chrX,YJL089W,265926,268415,1,"[1.1843433085517896, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.9083311679895607, 1.5117361001983665, 1.1256327492988034, 1.1256327492988034, 1.8720674380264324, 1.2346355871073136, 0.9126084938151668, 0.5265051429156039, 1.1256327492988034, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 0.5265051429156039, 0.6690044017789917, 0.2829010508794287, 0.2829010508794287, 1.29871184471473, 0.2829010508794287]"
3609,3360,chrX,YJL090C,262757,265051,-1,[]
3611,3361,chrX,YJL091C,261080,262552,-1,[]
3638,3362,chrX,YJL092W,257423,260947,1,"[2.1396640638107765, 0.2829010508794287, 0.5265051429156039, 1.8564450254073293, 1.29871184471473, 0.2829010508794287, 1.7159369696921372, 1.4897635448401925, 1.5117361001983665, 0.9126084938151668, 1.5704466594513526, 0.9126084938151668, 0.2829010508794287, 1.500921511060305, 1.551945208018266, 1.0551077526785546, 0.8485322362077505, 0.6690044017789917, 0.2829010508794287]"
3612,3363,chrX,YJL093C,254737,256812,-1,"[0.2829010508794287, 1.3528875485901217, 1.335740420280101, 1.6848151956142927, 1.210388289726734, 1.29871184471473, 2.268212798250801, 0.5265051429156039, 1.628463345990257, 1.0551077526785546, 0.9126084938151668, 0.6690044017789917, 0.5265051429156039, 2.380581928128476, 0.2829010508794287]"
3637,3364,chrX,YJL094C,251821,254442,-1,"[1.1562125858513421, 1.3528875485901217, 0.5265051429156039, 1.9251499950935305, 0.7701092349517793, 0.2829010508794287, 1.4897635448401925, 1.3692368413349787, 1.2573174190241294, 0.2829010508794287, 0.5265051429156039, 1.2573174190241294, 1.657767513572248, 1.384859253954082, 1.478239679143489, 1.1843433085517896, 2.280374787437427, 0.2829010508794287, 0.9667841976905588, 1.657767513572248, 0.2829010508794287, 2.0145666968898204, 1.478239679143489, 1.0551077526785546, 0.8485322362077505]"
3636,3365,chrX,YJL095W,247255,251691,1,"[1.6848151956142927, 1.3177135758273408, 0.5265051429156039, 0.7701092349517793, 0.9126084938151668, 0.7701092349517793, 0.9667841976905588, 0.5265051429156039, 1.2573174190241294, 1.5704466594513526, 0.5265051429156039, 0.2829010508794287, 1.3692368413349787, 0.7701092349517793]"
3635,3366,chrX,YJL096W,246490,246975,1,"[1.4412111035781174, 1.3998166778875174, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039]"
3634,3367,chrX,YJL097W,245591,246244,1,[]
3633,3368,chrX,YJL098W,242082,245258,1,"[1.384859253954082, 1.29871184471473, 0.7701092349517793, 1.6360216247266204, 1.3998166778875174, 1.0551077526785546, 1.9348680266633007, 1.2346355871073136, 0.5265051429156039, 1.500921511060305, 1.6848151956142927, 1.2573174190241294, 1.5324153830188807, 0.8485322362077505]"
3632,3369,chrX,YJL099W,239414,241654,1,"[0.8485322362077505, 0.6690044017789917, 0.2829010508794287, 0.6690044017789917, 1.210388289726734, 1.3998166778875174, 0.5265051429156039, 2.0145666968898204, 0.2829010508794287, 1.29871184471473, 1.8524284512260387, 1.5222278170899979, 0.5265051429156039, 0.9126084938151668, 0.9126084938151668, 1.0137133269879544, 0.9667841976905588, 0.9126084938151668, 0.2829010508794287, 0.5265051429156039, 0.2829010508794287, 1.384859253954082, 1.657767513572248, 0.2829010508794287, 0.6690044017789917, 1.3528875485901217, 0.2829010508794287, 0.2829010508794287, 0.7701092349517793, 1.466325100326476, 0.2829010508794287, 1.0137133269879544, 1.335740420280101, 1.2573174190241294, 0.7701092349517793, 0.2829010508794287, 1.1562125858513421]"
3631,3370,chrX,YJL100W,237263,239086,1,"[1.5704466594513526, 2.0794908352836865, 1.0137133269879544, 1.5423159367509052, 1.0137133269879544, 0.2829010508794287, 1.596491640626297, 1.0921363282439258, 1.0921363282439258, 0.6690044017789917, 2.2001541023870907, 1.9797946068643946, 0.2829010508794287, 0.6690044017789917, 0.6690044017789917, 0.5265051429156039, 1.2786237250538226, 0.5265051429156039, 0.6690044017789917, 1.0551077526785546, 1.1562125858513421, 0.8485322362077505, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 1.466325100326476, 2.0576548435237028, 0.2829010508794287, 1.657767513572248]"
3630,3371,chrX,YJL101C,234320,236356,-1,"[0.2829010508794287, 0.2829010508794287]"
3629,3372,chrX,YJL102W,231301,233760,1,"[0.2829010508794287, 1.7553401922345417, 0.6690044017789917, 0.6690044017789917, 1.466325100326476, 1.1562125858513421, 0.6690044017789917]"
3628,3373,chrX,YJL103C,229025,230881,-1,"[1.384859253954082, 1.29871184471473, 0.5265051429156039, 1.4412111035781174, 1.6975964737990845, 0.2829010508794287, 0.5265051429156039, 0.7701092349517793, 1.8978394510979293, 1.6975964737990845]"
3627,3374,chrX,YJL104W,227327,227776,1,[0.7701092349517793]
3626,3375,chrX,YJL105W,225055,226737,1,"[1.466325100326476, 0.8485322362077505, 1.0921363282439258, 1.1256327492988034, 0.2829010508794287, 1.0137133269879544, 0.5265051429156039, 1.2786237250538226, 1.1843433085517896, 1.1562125858513421, 1.8095158961099336, 1.29871184471473, 1.3692368413349787, 1.0137133269879544, 0.2829010508794287, 1.1843433085517896, 1.1843433085517896, 1.6848151956142927]"
3625,3376,chrX,YJL106W,221390,223327,1,"[1.818527836434233, 0.2829010508794287, 0.6690044017789917, 1.5793445123162764, 1.2346355871073136]"
3624,3377,chrX,YJL107C,218853,220016,-1,"[1.0551077526785546, 0.8485322362077505, 1.6128409333711538, 0.2829010508794287, 1.7445256030964802, 1.0551077526785546, 0.2829010508794287, 1.29871184471473, 1.335740420280101, 1.0137133269879544, 0.2829010508794287, 0.5265051429156039, 1.500921511060305]"
3623,3378,chrX,YJL108C,217705,218856,-1,"[1.2573174190241294, 0.9126084938151668, 0.2829010508794287, 1.500921511060305, 0.6690044017789917, 1.7038169267269039, 0.5265051429156039, 0.2829010508794287, 0.5265051429156039, 0.7701092349517793, 1.2786237250538226, 0.2829010508794287, 0.2829010508794287]"
3622,3379,chrX,YJL109C,212000,217309,-1,"[0.2829010508794287, 0.2829010508794287, 0.2829010508794287]"
3621,3380,chrX,YJL110C,209922,211577,-1,"[1.0137133269879544, 1.29871184471473, 0.9126084938151668, 1.551945208018266, 0.5265051429156039, 2.2851241355989274, 2.0438708644718107, 0.8485322362077505, 0.2829010508794287, 1.5222278170899979, 0.7701092349517793, 0.6690044017789917]"
3620,3381,chrX,YJL111W,207877,209529,1,[]
3619,3382,chrX,YJL112W,205305,207449,1,"[1.8002667724356356, 0.2829010508794287, 0.5265051429156039, 2.2581707889259954, 1.6848151956142927, 1.1562125858513421, 0.9667841976905588, 1.2786237250538226, 1.1843433085517896, 0.9667841976905588, 1.0921363282439258, 0.9126084938151668, 1.210388289726734, 1.2786237250538226, 1.4412111035781174, 1.2346355871073136, 0.2829010508794287, 1.4141634215360728, 1.7760194750550562, 0.2829010508794287, 1.0551077526785546, 0.7701092349517793, 0.9126084938151668, 1.6128409333711538, 1.9565500103509155, 1.4412111035781174, 0.7701092349517793, 0.2829010508794287, 1.8358867432475112, 0.5265051429156039, 0.2829010508794287, 1.7553401922345417, 1.628463345990257, 1.0921363282439258, 1.0551077526785546, 1.551945208018266, 1.2786237250538226, 0.5265051429156039, 0.2829010508794287, 1.551945208018266]"
3618,3383,chrX,YJL113W,198678,203325,1,"[0.9126084938151668, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 1.4539923817629092, 0.9667841976905588, 0.9126084938151668, 0.7701092349517793]"
3617,3384,chrX,YJL114W,197915,198595,1,"[1.6434207699236927, 1.7658319091261732, 0.2829010508794287, 0.2829010508794287, 1.0551077526785546, 0.5265051429156039, 1.1256327492988034]"
3616,3385,chrX,YJL115W,196287,197126,1,"[0.2829010508794287, 1.2573174190241294, 0.2829010508794287, 1.551945208018266, 1.500921511060305, 0.7701092349517793]"
3615,3386,chrX,YJL116C,193860,194873,-1,"[0.5265051429156039, 0.2829010508794287, 0.5265051429156039, 0.5265051429156039, 1.4412111035781174, 1.500921511060305, 1.1562125858513421, 0.2829010508794287, 1.5117361001983665, 1.6128409333711538, 1.2573174190241294, 1.8229486043524514, 0.9126084938151668]"
3614,3387,chrX,YJL117W,192531,193466,1,"[0.2829010508794287, 0.9667841976905588, 0.2829010508794287, 1.0551077526785546, 0.2829010508794287, 0.9126084938151668, 1.5222278170899979, 0.2829010508794287, 1.6848151956142927, 0.2829010508794287]"
3613,3388,chrX,YJL118W,191639,192298,1,"[1.1843433085517896, 1.384859253954082, 0.5265051429156039, 0.2829010508794287, 1.8942714365378641, 1.1256327492988034, 2.3903326432670893, 1.7333676368763677, 1.1843433085517896, 0.6690044017789917, 0.8485322362077505]"
3683,3389,chrX,YJL119C,191572,191895,-1,"[1.5880226425010073, 1.4279474005879649, 0.2829010508794287, 0.7701092349517793, 1.8358867432475112]"
3699,3390,chrX,YJL120W,191022,191345,1,"[0.2829010508794287, 1.5880226425010073, 1.6912639346271254, 1.67155149262414, 2.172023379686643, 1.1562125858513421, 1.9825949915258596, 1.1256327492988034]"
3800,3391,chrX,YJL121C,190374,191090,-1,"[1.1256327492988034, 1.8720674380264324, 0.8485322362077505, 0.8485322362077505]"
3700,3392,chrX,YJL122W,189716,190243,1,"[0.2829010508794287, 0.2829010508794287, 1.921850004504908, 1.466325100326476, 0.6690044017789917, 0.7701092349517793, 0.2829010508794287, 1.6047613495965325]"
3783,3393,chrX,YJL123C,188004,189440,-1,"[1.466325100326476, 2.08785900241832, 1.1256327492988034, 2.009436001162348, 1.657767513572248, 1.6047613495965325, 1.6848151956142927, 0.2829010508794287, 1.6647270759533856]"
3782,3394,chrX,YJL124C,187126,187644,-1,[0.8485322362077505]
3781,3395,chrX,YJL125C,185528,186679,-1,[0.5265051429156039]
3780,3396,chrX,YJL126W,184501,185424,1,"[1.5793445123162764, 0.2829010508794287, 1.2346355871073136, 1.1256327492988034, 0.9126084938151668, 1.0921363282439258, 1.4141634215360728, 0.5265051429156039, 0.2829010508794287, 1.7333676368763677, 1.466325100326476, 0.2829010508794287]"
3779,3397,chrX,YJL127C,182298,184220,-1,"[1.818527836434233, 0.5265051429156039, 0.6690044017789917, 1.657767513572248, 0.5265051429156039, 0.2829010508794287, 1.2573174190241294, 0.5265051429156039, 1.384859253954082, 2.0709185465138558, 1.1843433085517896, 1.8524284512260387, 1.1843433085517896, 1.1256327492988034, 1.944324554542804, 1.3998166778875174, 0.9126084938151668]"
3778,3398,chrX,YJL128C,178097,180103,-1,"[1.990864700496095, 0.7701092349517793, 1.5222278170899979, 1.596491640626297, 1.210388289726734, 1.478239679143489, 0.5265051429156039, 1.29871184471473, 1.4412111035781174, 0.2829010508794287, 1.210388289726734, 1.7159369696921372]"
3777,3399,chrX,YJL129C,173599,177306,-1,"[0.8485322362077505, 1.7038169267269039, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.8485322362077505]"
3776,3400,chrX,YJL130C,165723,172367,-1,"[2.327303916734823, 0.2829010508794287, 1.628463345990257, 1.8400957326624723, 1.8796257167627959, 1.3528875485901217, 0.2829010508794287, 0.2829010508794287, 1.7553401922345417, 0.9667841976905588, 1.9853732385276839, 0.6690044017789917, 2.3046220848180066, 1.384859253954082, 1.3528875485901217, 0.2829010508794287, 1.7907676424086143, 0.5265051429156039, 1.8483654416327076, 1.335740420280101, 1.7099291923626512, 0.2829010508794287, 1.210388289726734, 0.2829010508794287, 1.2786237250538226, 2.062131928470408, 1.0921363282439258, 0.9126084938151668, 0.2829010508794287, 1.7760194750550562, 0.5265051429156039, 1.8273144544776805, 2.397257919865505, 1.3177135758273408, 1.6506673445016888, 0.2829010508794287, 1.6647270759533856, 2.233103950368318, 0.2829010508794287, 1.4279474005879649, 0.2829010508794287, 1.478239679143489, 0.2829010508794287, 1.4141634215360728, 0.7701092349517793, 1.4412111035781174, 2.036770695401252, 1.0551077526785546]"
3775,3401,chrX,YJL131C,164278,165348,-1,"[0.9667841976905588, 0.5265051429156039, 0.2829010508794287, 0.5265051429156039, 1.210388289726734, 1.4412111035781174, 0.7701092349517793, 1.5222278170899979, 1.4141634215360728, 0.8485322362077505, 1.9935785859162871]"
3774,3402,chrX,YJL132W,161914,164166,1,"[0.6690044017789917, 0.2829010508794287, 2.126948853191838, 1.3177135758273408, 0.8485322362077505, 1.8906668263183164, 1.5793445123162764, 1.1256327492988034, 1.384859253954082, 0.5265051429156039, 1.4897635448401925, 1.7810046141784506, 1.9595410617283124, 1.5793445123162764, 1.7333676368763677, 1.0137133269879544, 1.1843433085517896, 1.1843433085517896, 1.2573174190241294, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 1.7553401922345417, 0.8485322362077505]"
3773,3403,chrX,YJL133W,160619,161563,1,"[1.596491640626297, 1.5704466594513526, 0.9126084938151668, 1.2573174190241294, 1.500921511060305, 1.5324153830188807, 1.4141634215360728, 0.5265051429156039, 0.2829010508794287, 0.5265051429156039, 0.2829010508794287, 1.466325100326476, 0.2829010508794287, 1.1562125858513421, 1.3998166778875174]"
3772,3404,chrX,YJL134W,158188,159417,1,"[0.5265051429156039, 0.5265051429156039, 1.2786237250538226, 0.5265051429156039, 0.5265051429156039, 1.9412005658352596, 2.286301511626443, 0.5265051429156039, 1.9654478632158394, 0.2829010508794287, 0.2829010508794287, 1.9151555846603154, 1.2573174190241294, 1.3528875485901217, 1.8906668263183164, 0.2829010508794287, 0.8485322362077505]"
3771,3405,chrX,YJL135W,157877,158194,1,"[1.5613176678635161, 0.9667841976905588, 0.2829010508794287, 0.9667841976905588, 1.29871184471473, 1.5222278170899979, 1.9380485589178293, 1.8316267345371826, 0.2829010508794287, 1.8483654416327076, 0.2829010508794287, 0.5265051429156039]"
3770,3406,chrX,YJL136C,156550,157273,-1,"[1.3177135758273408, 1.0551077526785546, 0.6690044017789917, 0.6690044017789917]"
3769,3407,chrX,YJL137C,154985,156127,-1,"[1.5704466594513526, 0.9126084938151668, 1.551945208018266, 1.3177135758273408, 0.2829010508794287, 1.7038169267269039]"
3768,3408,chrX,YJL138C,153504,154691,-1,"[1.210388289726734, 0.5265051429156039]"
3767,3409,chrX,YJL139C,151713,152999,-1,"[0.2829010508794287, 1.3998166778875174, 0.8485322362077505, 1.3692368413349787, 0.2829010508794287, 0.9126084938151668, 0.2829010508794287, 0.8485322362077505, 0.7701092349517793, 1.4279474005879649, 0.7701092349517793, 1.6047613495965325, 0.7701092349517793, 0.8485322362077505, 0.2829010508794287, 0.9126084938151668]"
3766,3410,chrX,YJL140W,150961,151626,1,[2.0531199881461086]
